FDID,inc_date,inc_number,address,total_lost,total_acres_burned,equipment_involved_in_ignition,total_injuries,total_deaths,year
19110, 01/14/2011,0010797,  CORRAL CANYON  MALIBU 000000000,0.0,0.21,211 - Electrical power (utility) line.,0,0,2011
37555, 01/23/2011,864,  Grove Rd  PAUMA_VALLEY 92061,0.0,0.1,211 - Electrical power (utility) line.,0,0,2011
19030, 01/28/2011,0005510,343 N CALIFORNIA ST Burbank 91505,500.0,0.01,211 - Electrical power (utility) line.,0,0,2011
4555, 02/08/2011,1556,00000588  ZINK RD BERRY_CRK 95916,0.0,0.5,211 - Electrical power (utility) line.,0,0,2011
40055, 03/17/2011,1926, N Oak Park BLVD PB 93449,0.0,0.02,211 - Electrical power (utility) line.,0,0,2011
24035, 04/09/2011,5154,     ,0.0,1.0,211 - Electrical power (utility) line.,0,0,2011
4555, 04/09/2011,4195,3720  Deadwood RD CONCOW 95965,0.0,0.25,211 - Electrical power (utility) line.,0,0,2011
33555, 04/15/2011,34698,00014453  CALIFORNIA AVE BEAU 92223,0.0,1.0,211 - Electrical power (utility) line.,0,0,2011
33555, 04/23/2011,37332,47498  De Portola RD HEM 92544,0.0,0.1,211 - Electrical power (utility) line.,0,0,2011
10032, 04/24/2011,4218,  Kings Canyon Rd  SANGER 93657,0.0,1.0,211 - Electrical power (utility) line.,0,0,2011
43045, 04/26/2011,1610,00015145  COLUMBET AVE SAN_MARTIN_SCC 95046,0.0,1.0,211 - Electrical power (utility) line.,0,0,2011
33035, 04/27/2011,38484,00031945  CORYDON ST LELS 92530,0.0,0.01,211 - Electrical power (utility) line.,0,0,2011
43045, 04/29/2011,1674,00015149  COLUMBET  SAN_MARTIN_SCC 95037,0.0,1.0,211 - Electrical power (utility) line.,0,0,2011
10555, 04/30/2011,4432, W Gale AVE COALINGA 93210,0.0,1.0,211 - Electrical power (utility) line.,0,0,2011
36555, 04/30/2011,4569,00018000  INSTITUTION RD DEVORE 92407,0.0,15.0,211 - Electrical power (utility) line.,0,0,2011
39105, 05/01/2011,0000417,11292 N ALPINE RD STOCKTON 95212,0.0,0.0,211 - Electrical power (utility) line.,0,0,2011
36140, 05/01/2011,1101220,4705  HOWARD ST MONTCLAIR 91763,0.0,0.1,211 - Electrical power (utility) line.,0,0,2011
33555, 05/02/2011,40088,  Tamarack RD SANG 92282,0.0,0.1,211 - Electrical power (utility) line.,0,0,2011
31555, 05/03/2011,9875,8610  Dick Cook RD SOUTH_PLACER_FD1 95650,0.0,0.2,211 - Electrical power (utility) line.,0,0,2011
43555, 05/05/2011,1747,  Santa Teresa BLVD San Jose 95018,0.0,0.1,211 - Electrical power (utility) line.,0,0,2011
45555, 05/06/2011,3166,00015256  ROCK CREEK RD SHASTA 96087,2000.0,0.25,211 - Electrical power (utility) line.,0,0,2011
49555, 05/08/2011,3399,  Willow Creek RD JENNER 95450,0.0,1.0,211 - Electrical power (utility) line.,0,0,2011
33065, 05/09/2011,0501739,650 W Stevens RD PALM SPRINGS 92262,0.0,0.25,211 - Electrical power (utility) line.,0,0,2011
36555, 05/10/2011,4990,00032385  HWY 18  LUCERNE_VALLEY 92356,0.0,0.1,211 - Electrical power (utility) line.,0,0,2011
37130, 05/12/2011,5184,1566  Barnett RD RAMONA 92065,0.0,0.25,211 - Electrical power (utility) line.,0,0,2011
50555, 05/20/2011,1904,  Interstate 5  MT_OSO 95387,100.0,1.0,211 - Electrical power (utility) line.,0,0,2011
42035, 05/27/2011,0005305, S TURNPIKE RD SANTA BARBARA 93111,2.0,0.01,211 - Electrical power (utility) line.,0,0,2011
33090, 05/28/2011,48825,     ,0.0,1.0,211 - Electrical power (utility) line.,0,0,2011
27555, 05/29/2011,1778,     ,30000.0,382.0,211 - Electrical power (utility) line.,0,0,2011
27555, 05/29/2011,1775,1  Redhead CYN SAN_ARDO 93450,0.0,0.25,211 - Electrical power (utility) line.,0,0,2011
37175, 05/30/2011,5867,  San Gabriel WAY Valley Center 92028,1.0,0.25,211 - Electrical power (utility) line.,0,0,2011
20015, 05/31/2011,7990,  Golden State  MADERA 93637,0.0,2.0,211 - Electrical power (utility) line.,0,0,2011
20015, 06/04/2011,8162,  Ave 12 AVE ROLLING_HILLS 93636,0.0,1.0,211 - Electrical power (utility) line.,0,0,2011
35555, 06/07/2011,1882,     ,0.0,1.0,211 - Electrical power (utility) line.,0,0,2011
43080, 06/07/2011,1580026,1131  HILLSLOPE PL LOS ALTOS 94024,400.0,0.16,211 - Electrical power (utility) line.,0,0,2011
19110, 06/07/2011,0127799,26637  SHADOW WOOD  RANCHO PALOS VERDES 000000000,0.0,0.7,211 - Electrical power (utility) line.,0,0,2011
50557, 06/09/2011,4681,  SONORA RD STANISLAUS_COUNTY 95252,600.0,3.0,211 - Electrical power (utility) line.,0,0,2011
20555, 06/10/2011,8463,  Rd. 603  RAYMOND 93653,10000.0,30.0,211 - Electrical power (utility) line.,0,0,2011
10032, 06/10/2011,6312,     ,500.0,1.0,211 - Electrical power (utility) line.,0,0,2011
40555, 06/13/2011,4401,00008800  VAN GORDON CREEK RD SLO_CO 93428,0.0,1.0,211 - Electrical power (utility) line.,0,0,2011
4035, 06/14/2011,6962,  Hwy 99  Oroville 95965,0.0,2.0,211 - Electrical power (utility) line.,0,0,2011
20015, 06/17/2011,8889,  Hwy 41 HWY ROLLING_HILLS 93636,0.0,0.5,211 - Electrical power (utility) line.,0,0,2011
3555, 06/19/2011,12893,1000  Castle Oaks DR IONE 95640,0.0,0.15,211 - Electrical power (utility) line.,0,0,2011
41125, 06/21/2011,87,4300  BEAR GULCH RD La Honda 94020,0.0,0.0,211 - Electrical power (utility) line.,0,0,2011
17555, 06/21/2011,4668,00026775  MORGAN VALLEY RD LOWER_LAKE 95461,0.0,2.0,211 - Electrical power (utility) line.,0,0,2011
34555, 06/22/2011,13198,00016000  MEISS RD Rancho Murieta 95683,0.0,16.0,211 - Electrical power (utility) line.,0,0,2011
23555, 06/23/2011,4136,40771  Comptche Ukiah Road RD COMP 95427,0.0,0.1,211 - Electrical power (utility) line.,0,0,2011
1008, 06/23/2011,1115287,  BRUNS RD  LIVERMORE 94550,0.0,5.0,211 - Electrical power (utility) line.,0,0,2011
24035, 06/25/2011,9374,4336  Dickenson Ferry RD ATWATER 95340,4000.0,0.02,211 - Electrical power (utility) line.,0,0,2011
33054, 06/25/2011,58048,16950  Indian ST MOVA 92551,0.0,0.05,211 - Electrical power (utility) line.,0,0,2011
4555, 06/26/2011,7551,00005667  ROYAL DRIFT WAY FRST_RNCH 95942,0.0,0.1,211 - Electrical power (utility) line.,0,0,2011
58555, 06/27/2011,14165,00012802  MANNA LN LOMA_RICA 95901,0.0,0.5,211 - Electrical power (utility) line.,0,0,2011
33555, 07/03/2011,60628,26741  Hostettler RD ALBE 92883,0.0,0.01,211 - Electrical power (utility) line.,0,0,2011
36107, 07/04/2011,7309,00007087  ELMWOOD RD HIGHLAND_CITY 92404,500.0,1.0,211 - Electrical power (utility) line.,0,0,2011
42035, 07/05/2011,0006708,  Ontiveros Ln / Santa Mari RD SANTA MARIA 93454,0.0,1.0,211 - Electrical power (utility) line.,0,0,2011
27140, 07/05/2011,2268,00061940  CATTLEMAN RD SAN_ARDO_CITY 93450,0.0,0.25,211 - Electrical power (utility) line.,0,0,2011
10032, 07/05/2011,7736,00008733 E ALLUVIAL  CLOVIS 93611,1000.0,1.0,211 - Electrical power (utility) line.,0,0,2011
33035, 07/05/2011,61460,  2nd  LELS 92530,0.0,0.02,211 - Electrical power (utility) line.,0,0,2011
